DAY,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
0,2018-09-14,910.0,934.5,909.8,933.0,932.3,23940.0,222.22
1,2018-09-12,910.0,920.0,900.0,906.0,904.6,7726.0,70.06
2,2018-09-11,937.6,937.6,910.0,910.0,911.75,12173.0,111.97
3,2018-09-10,922.0,945.05,922.0,929.0,930.45,32206.0,300.98
4,2018-09-07,865.0,938.8,855.1,923.0,922.0,108865.0,993.07
5,2018-09-06,869.0,884.95,855.1,868.5,865.25,9746.0,84.49
6,2018-09-05,882.0,889.85,862.0,865.0,868.7,8304.0,72.5
7,2018-09-04,895.05,900.0,885.15,888.0,887.75,7890.0,70.23
8,2018-09-03,900.0,900.0,885.0,898.9,895.6,10186.0,90.99
9,2018-08-31,892.6,900.0,888.55,890.0,892.25,7753.0,69.21
10,2018-08-30,892.05,902.1,885.0,897.0,896.65,7049.0,62.86
11,2018-08-29,900.05,907.65,892.0,898.0,896.95,6930.0,62.15
12,2018-08-28,920.1,920.1,895.0,899.0,897.95,13043.0,117.8
13,2018-08-27,925.0,932.85,914.9,919.9,920.1,18614.0,171.32
14,2018-08-24,909.75,914.9,891.0,892.5,895.15,8489.0,76.53
15,2018-08-23,920.0,924.8,900.25,908.2,909.35,12296.0,111.9
16,2018-08-21,923.0,925.9,910.1,914.9,914.1,8049.0,73.81
17,2018-08-20,926.05,936.9,923.05,923.05,923.95,11923.0,110.43
18,2018-08-17,951.0,959.7,925.35,931.85,935.45,12414.0,116.64
19,2018-08-16,962.0,966.7,936.05,940.0,941.0,10327.0,98.1
20,2018-08-14,983.0,983.0,961.1,962.1,962.7,10861.0,105.13
21,2018-08-13,956.85,999.0,956.85,980.0,983.85,72261.0,711.38
22,2018-08-10,986.0,988.0,968.8,987.0,976.8,15756.0,153.97
23,2018-08-09,965.0,1013.0,960.15,991.8,986.1,52752.0,522.49
24,2018-08-08,981.95,984.0,966.05,971.25,972.65,15809.0,153.93
25,2018-08-07,945.0,1002.4,945.0,976.85,973.2,59419.0,581.97
26,2018-08-06,972.5,972.5,943.85,959.8,955.65,20839.0,199.34
27,2018-08-03,960.0,976.2,950.0,966.0,962.85,18142.0,175.16
28,2018-08-02,971.95,977.9,938.8,961.0,957.55,31952.0,305.36
29,2018-08-01,978.0,990.9,958.35,979.0,979.95,116555.0,1137.71
30,2018-07-31,899.0,976.9,897.0,965.0,968.6,301818.0,2875.77
31,2018-07-30,791.0,903.8,791.0,897.0,890.2,138791.0,1205.13
32,2018-07-27,779.0,796.15,779.0,788.0,789.3,12994.0,102.6
33,2018-07-26,782.0,795.0,775.0,782.05,782.05,13927.0,109.33
34,2018-07-25,783.0,798.1,783.0,784.95,785.95,11238.0,88.8
35,2018-07-24,774.0,787.6,772.0,783.6,782.2,12350.0,96.47
36,2018-07-23,780.05,784.85,770.05,773.0,773.2,14579.0,113.24
37,2018-07-20,793.95,793.95,780.0,786.0,785.05,18485.0,144.92
38,2018-07-19,804.0,809.0,791.55,793.95,793.45,12861.0,102.7
39,2018-07-18,812.9,814.9,801.55,804.75,804.15,9934.0,80.16
40,2018-07-17,811.0,822.65,808.0,812.1,816.25,19543.0,159.01
41,2018-07-16,819.2,823.8,812.0,815.0,813.6,9231.0,75.32
42,2018-07-13,827.05,840.85,818.05,825.05,826.75,13018.0,107.83
43,2018-07-12,839.35,848.95,828.0,830.0,831.6,7686.0,64.48
44,2018-07-11,847.25,849.95,835.55,838.25,839.35,9271.0,78.02
45,2018-07-10,820.0,855.9,820.0,848.0,848.1,21632.0,183.22
46,2018-07-09,830.0,832.6,820.05,821.0,822.55,9711.0,80.18
47,2018-07-06,825.0,835.8,824.0,826.5,828.75,13966.0,115.75
48,2018-07-05,835.0,839.85,826.0,828.0,828.0,8342.0,69.27
49,2018-07-04,841.1,846.75,835.0,836.0,836.75,10745.0,90.09
50,2018-07-03,857.0,858.5,842.05,846.0,844.35,9325.0,78.95
51,2018-07-02,844.2,878.95,833.15,857.0,858.5,19490.0,167.39
52,2018-06-29,843.95,850.0,843.0,845.0,844.4,13304.0,112.6
53,2018-06-28,860.05,860.05,840.0,840.1,843.9,22852.0,194.25
54,2018-06-27,880.0,885.4,860.0,865.0,865.3,27245.0,237.25
55,2018-06-26,896.0,897.0,885.05,887.0,887.05,18084.0,160.81
56,2018-06-25,910.0,913.95,898.0,902.1,901.0,10004.0,90.5
57,2018-06-22,911.1,920.95,896.0,917.0,914.4,27953.0,253.11
58,2018-06-21,925.1,927.0,911.0,911.15,912.0,17703.0,162.14
59,2018-06-20,931.0,935.95,923.0,925.0,925.1,15275.0,141.76
60,2018-06-19,947.05,950.95,928.85,929.05,930.2,17843.0,166.96
61,2018-06-18,966.0,968.5,945.65,948.0,948.85,16102.0,153.42
62,2018-06-15,970.05,975.0,960.0,968.5,968.5,13532.0,130.93
63,2018-06-14,960.0,1008.0,949.05,970.0,973.1,206279.0,1981.8
64,2018-06-13,968.0,979.95,963.5,964.0,964.45,19326.0,187.09
65,2018-06-12,987.5,992.0,968.7,970.0,973.75,23112.0,226.46
66,2018-06-11,990.55,994.7,984.0,985.0,987.1,14867.0,147.2
67,2018-06-08,995.55,998.95,987.5,988.0,990.45,13521.0,134.2
68,2018-06-07,996.0,1010.0,996.0,997.0,999.55,10757.0,107.63
69,2018-06-06,990.0,1004.35,989.0,995.0,996.9,9344.0,93.11
70,2018-06-05,1019.0,1019.05,989.95,993.0,993.75,21152.0,210.96
71,2018-06-04,1040.0,1040.05,1015.0,1019.0,1018.55,10423.0,106.28
72,2018-06-01,1050.0,1050.05,1027.55,1028.2,1029.85,15574.0,160.92
73,2018-05-31,1085.0,1098.95,1046.5,1056.0,1057.1,342352.0,3623.82
74,2018-05-30,1043.0,1098.0,1011.0,1093.95,1081.35,84558.0,890.59
75,2018-05-29,1035.0,1051.0,1035.0,1050.0,1048.7,8519.0,88.98
76,2018-05-28,1020.0,1055.0,1020.0,1042.2,1042.35,22850.0,238.68
77,2018-05-25,1008.0,1025.0,1005.55,1025.0,1022.75,13915.0,141.64
78,2018-05-24,1015.0,1015.15,1005.05,1006.0,1008.75,10278.0,103.63
79,2018-05-23,1020.0,1024.0,1006.0,1018.0,1015.65,11985.0,121.57
80,2018-05-22,1025.0,1029.0,1011.25,1020.1,1021.95,10808.0,110.27
81,2018-05-21,1031.95,1031.95,1009.0,1019.1,1021.35,25664.0,260.91
82,2018-05-18,1044.0,1044.0,1030.05,1033.0,1032.85,11552.0,119.58
83,2018-05-17,1046.0,1050.65,1032.95,1042.0,1039.75,9501.0,98.82
84,2018-05-16,1054.5,1057.9,1043.0,1043.1,1044.3,103139.0,1079.83
